ts,Mbps
1, 0
2, 0
3, 741
4, 737
5, 741
6, 743
7, 738
8, 744
9, 737
10, 743
11, 742
12, 739
13, 733
14, 733
15, 741
16, 732
17, 735
18, 733
19, 734
20, 746
21, 743
22, 748
23, 739
24, 731
25, 727
26, 736
27, 732
28, 740
29, 736
30, 746
31, 734
32, 746
33, 746
34, 737
35, 731
36, 740
37, 741
38, 742
39, 735
40, 722
41, 748
42, 746
43, 742
44, 739
45, 740
46, 736
47, 740
48, 737
49, 739
50, 747
51, 735
52, 739
53, 742
54, 730
55, 738
56, 738
57, 734
58, 735
59, 737
60, 739
61, 749
62, 36
63, 0
64, 0
